Model,Preprocessing,Clusters,Silhouette,Calinski-Harabasz,Davies-Bouldin
KMEANS,No Processing,3,0.4563,207.9803,0.9159
KMEANS,No Processing,4,0.3617,194.8714,0.953
KMEANS,No Processing,5,0.3224,169.1429,0.9603
HCLUST,No Processing,3,0.375,183.3597,0.9783
HCLUST,No Processing,4,0.3483,185.2559,0.9701
HCLUST,No Processing,5,0.3522,196.954,0.9106
MEANSHIFT,No Processing,3,0.3644,54.7541,0.5765
MEANSHIFT,No Processing,4,0.3644,54.7541,0.5765
MEANSHIFT,No Processing,5,0.3644,54.7541,0.5765
KMEANS,Normalization,3,0.3063,116.6959,1.2729
KMEANS,Normalization,4,0.3166,117.7945,0.9666
KMEANS,Normalization,5,0.3158,117.3087,0.9977
HCLUST,Normalization,3,0.36,126.2475,1.1551
HCLUST,Normalization,4,0.3623,120.7561,0.8255
HCLUST,Normalization,5,0.3178,123.5061,0.896
MEANSHIFT,Normalization,3,0.4054,30.8599,0.4229
MEANSHIFT,Normalization,4,0.4054,30.8599,0.4229
MEANSHIFT,Normalization,5,0.4054,30.8599,0.4229
KMEANS,Transformation,3,0.8554,13039.7633,0.3389
KMEANS,Transformation,4,0.5181,15162.6315,0.6203
KMEANS,Transformation,5,0.4728,13314.5833,0.6989
HCLUST,Transformation,3,0.8554,13039.7633,0.3389
HCLUST,Transformation,4,0.5109,14291.9587,0.6054
HCLUST,Transformation,5,0.453,14101.6445,0.7125
MEANSHIFT,Transformation,3,0.9076,14114.2429,0.1625
MEANSHIFT,Transformation,4,0.9076,14114.2429,0.1625
MEANSHIFT,Transformation,5,0.9076,14114.2429,0.1625
KMEANS,PCA,3,0.4563,207.9803,0.9159
KMEANS,PCA,4,0.3617,194.8714,0.953
KMEANS,PCA,5,0.3224,169.1429,0.9603
HCLUST,PCA,3,0.375,183.3597,0.9783
HCLUST,PCA,4,0.3483,185.2559,0.9701
HCLUST,PCA,5,0.3522,196.954,0.9106
MEANSHIFT,PCA,3,0.3644,54.7541,0.5765
MEANSHIFT,PCA,4,0.3644,54.7541,0.5765
MEANSHIFT,PCA,5,0.3644,54.7541,0.5765
KMEANS,T+N,3,0.2477,133.7623,1.5943
KMEANS,T+N,4,0.2168,124.8835,1.6813
KMEANS,T+N,5,0.2135,120.5274,1.6109
HCLUST,T+N,3,0.2288,138.5574,1.5189
HCLUST,T+N,4,0.2425,127.846,1.4576
HCLUST,T+N,5,0.2073,112.2108,1.493
MEANSHIFT,T+N,3,0.3461,17.4754,1.0571
MEANSHIFT,T+N,4,0.3461,17.4754,1.0571
MEANSHIFT,T+N,5,0.3461,17.4754,1.0571
KMEANS,T+N+PCA,3,0.2477,133.7623,1.5943
KMEANS,T+N+PCA,4,0.2168,124.8835,1.6813
KMEANS,T+N+PCA,5,0.2135,120.5274,1.6109
HCLUST,T+N+PCA,3,0.2288,138.5574,1.5189
HCLUST,T+N+PCA,4,0.2425,127.846,1.4576
HCLUST,T+N+PCA,5,0.2073,112.2108,1.493
MEANSHIFT,T+N+PCA,3,0.3461,17.4754,1.0571
MEANSHIFT,T+N+PCA,4,0.3461,17.4754,1.0571
MEANSHIFT,T+N+PCA,5,0.3461,17.4754,1.0571
